"dmo","coordinates","latitude","longitude"
"A.T.L.del Cuneese valli alpine e città d’arte","44.39169846566252, 7.545363314024803",44.3916984656625,7.5453633140248
"Agenzia Campania Turismo","40.85792732321478, 14.283900823046022",40.8579273232148,14.283900823046
"Agenzia Turistica Locale della Provincia di Novara","45.44431, 8.61748",45.44431,8.61748
"Agenzia Turistica Locale Distretto Turistico dei Laghi","45.883634304977804, 8.541859126098887",45.8836343049778,8.54185912609889
"Alpe di Siusi Marketing","46.517290362022344, 11.502325727112046",46.5172903620223,11.502325727112
"Alta Val Venosta","46.69075254429379, 10.543157252120766",46.6907525442938,10.5431572521208
"Amalfi Coast Convention Bureau","40.65009667259217, 14.611794205025936",40.6500966725922,14.6117942050259
"Ancona Tourism","43.616777711773494, 13.518884797225343",43.6167777117735,13.5188847972253
"APT Alpe Cimbra","45.916460063295425, 11.170351774252449",45.9164600632954,11.1703517742524
"APT Basilicata","40.63197880000011, 15.788682570552277",40.6319788000001,15.7886825705523
"APT Livigno","46.52276257723174, 10.124413058893946",46.5227625772317,10.1244130588939
"ApT San Martino di Castrozza Primiero e Vanoi Soc. Coop.","46.17426048861933, 11.828583895210173",46.1742604886193,11.8285838952102
"APT Servizi Emilia-Romagna","44.50762942614331, 11.364443648623734",44.5076294261433,11.3644436486237
"APT Val di Fassa","46.476259061779224, 11.738653729446423",46.4762590617792,11.7386537294464
"APT Valli di Sole, Peio e Rabbi Scpa","46.354224679121586, 10.91476989728586",46.3542246791216,10.9147698972859
"APT Valsugana Lagorai","46.008894227438354, 11.306388139649933",46.0088942274384,11.3063881396499
"ARIA S.p.A. Azienda Regionale per l'Innovazione e gli Acquisti","45.491237382115656, 9.194190842404653",45.4912373821157,9.19419084240465
"Associazione Distretto Turistico Costa d'Amalfi","40.65151617215196, 14.642547441894745",40.651516172152,14.6425474418947
"ATL Alexala","44.91305589779972, 8.615171894906114",44.9130558977997,8.61517189490611
"ATL Biella Valsesia Vercelli","45.56247071253945, 8.056429418723024",45.5624707125395,8.05642941872302
"Azienda Autonoma di Soggiorno e Turismo Termoli","42.00089092596429, 14.993315835462104",42.0008909259643,14.9933158354621
"Azienda di soggiorno di Merano","46.6706144411704, 11.162084897301211",46.6706144411704,11.1620848973012
"Azienda di soggiorno e turismo di Bolzano","46.49527756501183, 11.354678097292682",46.4952775650118,11.3546780972927
"Azienda per il Turismo Dolomiti Paganella SB","46.163762879016026, 11.003218627539523",46.163762879016,11.0032186275395
"Azienda per il Turismo Val di Non","46.43895624729183, 11.137399363319803",46.4389562472918,11.1373993633198
"Bari Convention Bureau","41.11884712448882, 16.87111539700521",41.1188471244888,16.8711153970052
"Bibione e San Michele al Tagliamento","45.76389726372548, 12.994962654981421",45.7638972637255,12.9949626549814
"Bologna Welcome","44.49398956306286, 11.343175372368988",44.4939895630629,11.343175372369
"Borghi Etruschi ETS","41.9981504793392, 12.100283490915343",41.9981504793392,12.1002834909153
"Budoni welcome","40.70885800356787, 9.699446372180134",40.7088580035679,9.69944637218013
