original_dmo,original_coordinates,original_latitude,original_longitude,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,attribution_url
A.T.L.del Cuneese valli alpine e città d’arte,"44.39169846566252, 7.545363314024803",44.3916984656625,7.5453633140248,2.977547734743969,"ATL del Cuneese, Via Carlo Pascal, 7, 12100 Cuneo CN, Italia",44.3917149,7.5453929,ATL del Cuneese,7,Via Carlo Pascal,12100,Comune di Cuneo,Centro Storico,Cuneo,Cuneo,CN,Piemonte,PIE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Agenzia Campania Turismo,"40.85792732321478, 14.283900823046022",40.8579273232148,14.283900823046,3.775366799853573,"E7, Isola E, 80143 Napoli NA, Italia",40.857900400000005,14.284199706479903,E7,,Isola E,80143,Comune di Napoli,Municipalità 4,Napoli,Napoli,NA,Campania,CAM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Agenzia Turistica Locale della Provincia di Novara,"45.44431, 8.61748",45.44431,8.61748,0,"Castello Visconteo - Sforzesco di Novara, Largo Donatori di Sangue, 28100 Novara NO, Italia",45.444413350000005,8.61729129805997,Castello Visconteo - Sforzesco di Novara,,Largo Donatori di Sangue,28100,,Sacro Cuore,Novara,Novara,NO,Piemonte,PIE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Agenzia Turistica Locale Distretto Turistico dei Laghi,"45.883634304977804, 8.541859126098887",45.8836343049778,8.54185912609889,0.3421991942070398,"Distretto Turistico dei Laghi, Monti e Valli d'Ossola, Corso Italia, 26, 28838 Binda VB, Italia",45.8836332,8.541855,"Distretto Turistico dei Laghi, Monti e Valli d'Ossola",26,Corso Italia,28838,Comune di Stresa,,Binda,Verbano-Cusio-Ossola,VB,Piemonte,PIE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Alpe di Siusi Marketing,"46.517290362022344, 11.502325727112046",46.5172903620223,11.502325727112,2.4466287429845206,"39050 Fiè allo Sciliar BZ, Italia",46.5173848,11.5026421,,,,39050,,,Fiè allo Sciliar,Bolzano,BZ,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Alta Val Venosta,"46.69075254429379, 10.543157252120766",46.6907525442938,10.5431572521208,0,"Via S. Benedetto, 1, 39024 Laudes BZ, Italia",46.6907511,10.543110801451764,,1,Via S. Benedetto,39024,,,Laudes,Bolzano,BZ,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Amalfi Coast Convention Bureau,"40.65009667259217, 14.611794205025936",40.6500966725922,14.6117942050259,15.169379823998849,"Via Roma, 16, 84010 Scala SA, Italia",40.650066,14.611619,,16,Via Roma,84010,Comune di Scala,,Scala,Salerno,SA,Campania,CAM,Italia,it,© OpenAddresses contributors,BSD-3-Clause License,
Ancona Tourism,"43.616777711773494, 13.518884797225343",43.6167777117735,13.5188847972253,0,"Palazzo del Popolo (Municipio), Largo Ventiquattro Maggio, 60122 Ancona AN, Italia",43.61672995,13.518887556987544,Palazzo del Popolo (Municipio),,Largo Ventiquattro Maggio,60122,,Borgo Rodi,Ancona,Ancona,AN,Marche,MAR,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
APT Alpe Cimbra,"45.916460063295425, 11.170351774252449",45.9164600632954,11.1703517742524,0,"Magnifica Comunità di Folgaria, Via Roma, 60, 38064 Folgaria TN, Italia",45.91637745,11.170366600000001,Magnifica Comunità di Folgaria,60,Via Roma,38064,,,Folgaria,Provincia di Trento,,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
APT Basilicata,"40.63197880000011, 15.788682570552277",40.6319788000001,15.7886825705523,20.355840678375742,"Azienda di Promozione Turistica di Basilicata, Via del Gallitello, 89, 85100 Potenza PZ, Italia",40.631903,15.788463,Azienda di Promozione Turistica di Basilicata,89,Via del Gallitello,85100,Comune di Potenza,Gallitello,Potenza,Potenza,PZ,Basilicata,BAS,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
APT Livigno,"46.52276257723174, 10.124413058893946",46.5227625772317,10.1244130588939,0,"Plaza Plachéda, Via Saroch, 23041 Livigno SO, Italia",46.5227936,10.12411335735424,Plaza Plachéda,,Via Saroch,23041,,,Livigno,Sondrio,SO,Lombardia,LOM,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ApT San Martino di Castrozza Primiero e Vanoi Soc. Coop.,"46.17426048861933, 11.828583895210173",46.1742604886193,11.8285838952102,0,"SS50, 38054 Fiera di Primiero TN, Italia",46.174486900000005,11.828084652083328,Fiera di Primiero,,SS50,38054,Pieve,,Fiera di Primiero,Provincia di Trento,,Trentino-Alto Adige,TRE,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
APT Servizi Emilia-Romagna,"44.50762942614331, 11.364443648623734",44.5076294261433,11.3644436486237,1.6018858979466786,"Centro IFOA, Viale Aldo Moro, 62, 40127 Bologna BO, Italia",44.5076356,11.3644619,Centro IFOA,62,Viale Aldo Moro,40127,Fiera District,San Donato-San Vitale,Bologna,Bologna,BO,Emilia-Romagna,EMI,Italia,it,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
